trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,14,18.055450442846197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,0,-2.9446699562037733,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,5,11.72600382775539,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,6,-51.811636426195534,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",30,0,-22.184460092236407,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,8,-54.633053551375276,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,0,-12.725055305789633,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,3,-43.65987988973949,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,4,-82.76512906238665,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",30,0,0.2810921017956436,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,0,-0.5588586952077672,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,0,-10.730049923375754,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",20,9,3.9318791748753688,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,0,-23.303678183623312,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.296386587399208}",20,12,4.6108649357953615,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,14,8.904215817827154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",30,21,-27.277399051552287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",25,8,-61.28857835410848,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,8,8.420725254671856,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,0,-38.193407855571856,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",35,15,20.451097400807946,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,2,-17.406789775414943,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",30,20,8.217058182167506,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",20,0,-81.94218170029714,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",20,7,-79.9372763384792,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",25,3,-0.8283183701884607,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",25,5,-35.080159428954744,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",30,14,25.703112783645082,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
